"REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","DAY","WT06","AGE","SEX","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","RACE4","sp_race4"
"West","$60,000 to $74,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Friday",5591895.489492,70,"Female","Divorced","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,45,80,795,520,0,0,0,"White","Other / Mixed"
"Midwest","$100,000 to $149,999",3,"Owned by household member","Yes","House, apartment, flat",1,12,2,"Tuesday",11796317.162315,24,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1923.07,"Spouse present",35,"Male","College degree +","Employed - at work",45,1420.09,"No difficulty","No",17,0,0,0,0,60,335,510,114,0,404,"White","White"
"Midwest","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",7486126.253648,53,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",50,1120,"Spouse present",52,"Female","College degree +","Employed - at work",40,807.69,"No difficulty","No",0,0,0,0,30,180,330,900,0,0,0,"White","White"
"South","$100,000 to $149,999",5,"Rented for cash","Yes","House, apartment, flat",2,2,3,"Saturday",10750416.917649,35,"Female","Married - spouse present","Some college","Employed - at work","No",NA,"Part time",20,240,"Spouse present",38,"Male","Some college","Employed - at work",40,640,"No difficulty","No",30,0,0,0,45,142,155,540,0,0,485,"White","White"
"South","$50,000 to $59,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",15647853.936218,72,"Female","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Male","Some college","Retired",NA,NA,"No difficulty","No",0,0,0,0,35,15,615,660,115,0,0,"White","White"
"Midwest","$75,000 to $99,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Sunday",8220007.325285,37,"Female","Married - spouse present","Some college","Employed - at work","No",NA,"Part time",32,NA,"Spouse present",42,"Female","HS diploma, no college","Not employed",NA,NA,"No difficulty","No",0,0,0,0,65,155,275,770,175,0,0,"Hispanic/Latino","White"
"Northeast","$20,000 to $24,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Thursday",8800700.177196,85,"Female","Never married","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,80,0,90,375,180,540,0,0,0,"White","Other / Mixed"
"Midwest","$150,000 and over",5,"Owned by household member","Yes","House, apartment, flat",3,5,2,"Sunday",5837951.767206,38,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",56,2500,"Spouse present",39,"Female","College degree +","Employed - at work",40,NA,"No difficulty","No",0,0,0,0,45,455,370,570,0,0,0,"White","White"
"South","$75,000 to $99,999",4,"Owned by household member","Yes","House, apartment, flat",2,13,2,"Saturday",6762158.050353,57,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",50,2884.61,"Spouse present",51,"Male","College degree +","Employed - at work",50,2884.61,"No difficulty","No",0,0,0,0,355,440,0,495,150,0,0,"White","Asian"
"South","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",2,0,2,"Sunday",8006158.185938,37,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",45,NA,"Spouse present",38,"Female","College degree +","Employed - at work",45,1615.38,"No difficulty","No",150,0,0,0,75,160,240,525,0,0,290,"Hispanic/Latino","White"
"West","$20,000 to $24,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Saturday",3349598.099438,80,"Male","Widowed","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,30,15,640,755,0,0,0,"White","Other / Mixed"
"South","$60,000 to $74,999",4,"Owned by household member","Yes","House, apartment, flat",2,4,2,"Tuesday",6998250.751927,34,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1346.15,"Spouse present",36,"Male","College degree +","Employed - at work",NA,NA,"No difficulty","No",370,0,0,0,60,225,240,525,20,0,0,"White","White"
"Midwest","$150,000 and over",5,"Owned by household member","No","House, apartment, flat",0,NA,5,"Tuesday",27345935.42977,52,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",55,2884.61,"Spouse present",55,"Female","College degree +","Employed - at work",15,337.5,"No difficulty","No",0,0,0,0,30,0,150,450,0,0,810,"White","White"
"Midwest","$30,000 to $34,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",13582935.557035,80,"Male","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",75,"Female","Some college","Retired",NA,NA,"Has difficulty","No",0,0,0,0,194,120,612,451,63,0,0,"White","White"
"South","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",1,6,3,"Thursday",15869612.754636,47,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1538.46,"Spouse present",44,"Female","Some college","Employed - at work",40,1153,"No difficulty","No",30,0,0,0,90,0,142,480,98,0,600,"White","White"
"South","$150,000 and over",6,"Owned by household member","No","House, apartment, flat",0,NA,6,"Tuesday",38923134.667067,19,"Male","Never married","Some college","Employed - at work","No",NA,"Part time",30,350,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,0,240,75,0,404,690,31,0,0,"White","Other / Mixed"
"West","$50,000 to $59,999",3,"Rented for cash","No","House, apartment, flat",0,NA,3,"Sunday",4792065.802867,64,"Male","Never married","Some college","Employed - at work","No",NA,"Full time",40,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","Yes",0,215,0,0,15,15,260,450,0,0,435,"Black/African American","Other / Mixed"
"West","$100,000 to $149,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Monday",7139686.982901,72,"Female","Divorced","College degree +","Employed - at work","No",NA,"Full time",40,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,15,0,50,250,300,585,0,0,240,"White","Other / Mixed"
"West","$20,000 to $24,999",3,"Owned by household member","Yes","Mobile home w/o room added",1,9,2,"Wednesday",13408607.281178,26,"Female","Never married","Some college","Employed - at work","No",NA,"Full time",40,720,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,45,0,300,615,0,0,480,"Other / Mixed","Other / Mixed"
"West","$60,000 to $74,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",2969199.578349,74,"Female","Widowed","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,90,0,90,275,415,570,0,0,0,"White","Other / Mixed"
"West","$7,500 to $9,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Sunday",2868645.037686,22,"Female","Never married","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,60,0,20,430,150,780,0,0,0,"Hispanic/Latino","Other / Mixed"
"West","$75,000 to $99,999",4,"Rented for cash","Yes","House, apartment, flat",2,7,2,"Monday",20558567.536623,38,"Female","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",40,900,"Spouse present",41,"Male","HS diploma, no college","Employed - at work",55,NA,"No difficulty","No",123,220,30,0,30,0,215,397,30,0,395,"Hispanic/Latino","Hispanic/Latino"
"Midwest","$75,000 to $99,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Sunday",4323459.828409,63,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",61,"Female","Some college","Employed - at work",40,480.76,"No difficulty","No",0,0,0,0,35,90,210,470,0,635,0,"White","White"
"West","$50,000 to $59,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",8112484.932596,69,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",65,"Female","HS diploma, no college","Retired",NA,NA,"No difficulty","No",0,0,0,0,150,300,360,570,60,0,0,"White","White"
"Midwest","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",1,15,3,"Sunday",8860925.026757,44,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1000,"Spouse present",46,"Male","Some college","Employed - at work",50,1961.53,"No difficulty","No",60,0,60,0,120,120,440,600,40,0,0,"White","White"
"Midwest","$15,000 to $19,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",6556441.306242,66,"Male","Divorced","HS diploma, no college","Employed - at work","No",NA,"Part time",29,76.92,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,50,2,420,828,0,140,0,"White","Other / Mixed"
"South","$50,000 to $59,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Monday",12273661.861311,24,"Female","Never married","College degree +","Employed - at work","No",NA,"Part time",20,1000,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,60,530,60,150,100,540,0,0,0,"Hispanic/Latino","Other / Mixed"
"South","$75,000 to $99,999",5,"Owned by household member","Yes","House, apartment, flat",3,8,2,"Monday",14291770.56222,42,"Male","Married - spouse present","College degree +","Employed - at work","Yes",NA,"Full time",50,NA,"Spouse present",43,"Female","College degree +","Employed - at work",8,NA,"No difficulty","Yes",10,0,0,0,130,0,250,552,0,0,498,"White","White"
"South","$10,000 to $12,499",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Friday",9812651.857589,80,"Female","Widowed","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,33,237,390,780,0,0,0,"Black/African American","Other / Mixed"
"Northeast","$60,000 to $74,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Monday",5917042.124189,76,"Female","Never married","College degree +","Employed - at work","No",NA,"Part time",30,1153.84,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,95,80,905,360,0,0,0,"White","Other / Mixed"
"Midwest","$150,000 and over",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Wednesday",6390227.807171,75,"Female","Divorced","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,165,225,480,570,0,0,0,"White","Other / Mixed"
"Northeast","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Monday",7071705.063119,71,"Male","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",71,"Female","College degree +","Retired",NA,NA,"No difficulty","No",0,0,0,0,160,2,528,720,0,0,0,"White","White"
"South","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",3219112.894232,64,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,680,"Spouse present",59,"Male","College degree +","Employed - at work",40,1153.84,"No difficulty","No",0,0,0,0,60,50,550,780,0,0,0,"White","White"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",2926631.168156,65,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",79,"Male","College degree +","Retired",NA,NA,"No difficulty","No",0,0,0,0,155,0,360,815,110,0,0,"White","White"
"Midwest","Less than $5,000",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Tuesday",10488873.776586,60,"Male","Divorced","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,90,0,180,45,585,540,0,0,0,"Asian","Other / Mixed"
"Northeast","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Monday",18721143.554122,40,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",37,2375.4,"Spouse present",46,"Male","Some college","Employed - at work",37,1048.71,"No difficulty","No",0,0,21,0,45,70,30,1152,60,0,2,"White","White"
"West","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Thursday",8010104.154725,62,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",45,2307.69,"Spouse present",60,"Female","Some college","Not employed",NA,NA,"No difficulty","Yes",0,10,0,0,80,30,75,500,0,185,560,"White","White"
"South","$100,000 to $149,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Thursday",16666925.893848,36,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Part time",30,NA,"Spouse present",38,"Male","College degree +","Employed - at work",40,1923.07,"No difficulty","No",0,0,0,0,100,235,70,528,92,0,295,"White","White"
"West","$60,000 to $74,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2761659.352207,73,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",75,"Male","College degree +","Retired",NA,NA,"No difficulty","Yes",0,0,90,0,30,20,505,525,0,270,0,"White","White"
"Northeast","$40,000 to $49,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",7657671.566599,74,"Male","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",79,"Female","Some college","Not employed",NA,NA,"No difficulty","Yes",0,0,0,0,105,195,405,615,120,0,0,"White","White"
"Northeast","$75,000 to $99,999",7,"Owned by household member","Yes","House, apartment, flat",4,10,3,"Sunday",5628467.147677,50,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",40,1400,"Spouse present",50,"Female","Some college","Not employed",NA,NA,"No difficulty","No",10,0,0,0,60,155,470,555,0,190,0,"White","White"
"Midwest","$20,000 to $24,999",3,"Rented for cash","No","House, apartment, flat",0,NA,3,"Thursday",48516225.535732,21,"Male","Never married","Less than HS diploma","Employed - at work","No",NA,"Part time",30,378,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,90,70,300,300,630,0,0,0,"Hispanic/Latino","Other / Mixed"
"South","$15,000 to $19,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",4420134.528921,59,"Female","Widowed","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,45,0,825,570,0,0,0,"White","Other / Mixed"
"South","$50,000 to $59,999",1,"Owned by household member","No","Mobile home w/o room added",0,NA,1,"Thursday",7697986.065839,59,"Male","Divorced","HS diploma, no college","Employed - at work","No",NA,"Full time",40,2134.6,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,87,42,155,516,0,0,640,"White","Other / Mixed"
"South","$20,000 to $24,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",14055539.225293,85,"Male","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",NA,NA,"Spouse present",80,"Female","HS diploma, no college","Unable to work",NA,NA,"No difficulty","No",0,0,0,0,75,735,120,510,0,0,0,"White","White"
"South","$30,000 to $34,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Wednesday",15827358.630109,61,"Male","Divorced","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,30,0,0,55,105,475,775,0,0,0,"Hispanic/Latino","Other / Mixed"
"South","$75,000 to $99,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Tuesday",13182200.010819,28,"Male","Never married","College degree +","Employed - at work","No",NA,"Full time",50,1730.76,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,5,0,55,35,235,650,0,0,460,"White","Other / Mixed"
"Northeast","$10,000 to $12,499",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",2692835.684823,79,"Female","Widowed","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,60,0,90,135,505,650,0,0,0,"White","Other / Mixed"
"West","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Thursday",12778715.15397,35,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,2500,"Spouse present",35,"Female","College degree +","Employed - at work",40,2346.15,"No difficulty","No",0,0,0,0,65,55,180,585,0,0,555,"White","White"
"Northeast","$100,000 to $149,999",5,"Owned by household member","Yes","House, apartment, flat",1,3,4,"Sunday",4981674.788735,73,"Female","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",75,"Male","HS diploma, no college","Not employed",NA,NA,"Has difficulty","No",130,0,0,0,60,120,485,540,82,0,0,"White","White"
"Midwest","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",5903246.683764,56,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,2538.46,"Spouse present",56,"Female","College degree +","Not employed",NA,NA,"No difficulty","No",0,0,0,0,55,0,115,585,0,0,595,"White","White"
"South","$100,000 to $149,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Wednesday",34745070.686586,29,"Male","Never married","College degree +","Employed - at work","No",NA,"Full time",40,2500,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,275,30,120,595,0,0,420,"White","Other / Mixed"
"Midwest","$35,000 to $39,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Tuesday",6229674.499621,73,"Female","Widowed","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,210,6,0,30,140,150,904,0,0,0,"Black/African American","Other / Mixed"
"Midwest","$100,000 to $149,999",4,"Owned by household member","Yes","House, apartment, flat",2,11,2,"Sunday",11282256.044084,42,"Male","Married - spouse present","HS diploma, no college","Unemployed - on layoff",NA,NA,NA,NA,NA,"Spouse present",47,"Female","Some college","Employed - at work",40,880,"No difficulty","No",30,0,0,0,60,230,515,545,0,0,0,"White","White"
"Northeast","$25,000 to $29,999",3,"Rented for cash","No","House, apartment, flat",0,NA,3,"Monday",22046507.687534,76,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Male","HS diploma, no college","Retired",NA,NA,"No difficulty","Yes",0,0,0,0,105,100,705,480,50,0,0,"Hispanic/Latino","Hispanic/Latino"
"Northeast","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",2,5,2,"Sunday",6663164.038868,38,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1576.92,"Spouse present",50,"Male","College degree +","Retired",NA,NA,"No difficulty","No",30,0,0,0,0,105,345,670,90,155,45,"White","White"
"Midwest","$75,000 to $99,999",4,"Owned by household member","Yes","House, apartment, flat",2,9,2,"Tuesday",9198425.143166,35,"Male","Married - spouse present","College degree +","Employed - at work","Yes",NA,"Full time",50,1380,"Spouse present",35,"Female","Some college","Employed - at work",38,611.8,"No difficulty","No",30,0,10,0,55,133,0,525,57,0,630,"White","White"
"Northeast","$75,000 to $99,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Tuesday",7402333.164401,63,"Female","Widowed","Some college","Employed - at work","No",NA,"Full time",38,1538.46,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,40,27,300,573,0,0,500,"White","Other / Mixed"
"West","$25,000 to $29,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",3142945.902934,78,"Female","Widowed","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","Yes",0,0,30,0,40,225,455,610,80,0,0,"White","Other / Mixed"
"South","$50,000 to $59,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Sunday",10502446.464508,23,"Female","Never married","College degree +","Employed - at work","No",NA,"Part time",5,85,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,308,30,100,307,630,65,0,0,"White","Other / Mixed"
"Midwest","$75,000 to $99,999",4,"Owned by household member","Yes","House, apartment, flat",2,5,2,"Saturday",6359183.948315,37,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1750,"Spouse present",34,"Female","College degree +","Not employed",NA,NA,"No difficulty","No",240,0,0,0,90,0,300,650,160,0,0,"Asian","Asian"
"Midwest","$100,000 to $149,999",2,"Owned by household member","Yes","House, apartment, flat",1,17,1,"Sunday",4252741.479331,46,"Male","Divorced","Some college","Employed - at work","No",NA,"Full time",40,1711.53,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,0,0,132,20,365,765,0,158,0,"White","Other / Mixed"
"West","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",1,14,3,"Sunday",5247388.319754,47,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",40,NA,"Spouse present",46,"Female","Some college","Employed - at work",40,807,"No difficulty","No",0,0,0,0,30,435,375,600,0,0,0,"White","White"
"South","$25,000 to $29,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",5518490.081869,70,"Female","Widowed","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",5,0,0,0,160,12,483,630,0,150,0,"Hispanic/Latino","Other / Mixed"
"West","$30,000 to $34,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",10655161.405879,43,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",40,1634.61,"Spouse present",55,"Female","College degree +","Not employed",NA,NA,"No difficulty","Yes",0,0,0,0,90,211,15,479,0,0,480,"White","White"
"Midwest","$15,000 to $19,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2853677.320817,72,"Female","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Male","Less than HS diploma","Not employed",NA,NA,"No difficulty","Yes",0,0,30,0,45,90,295,690,0,290,0,"White","White"
"South","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",8577224.630673,62,"Female","Married - spouse present","HS diploma, no college","Employed - at work","Yes",NA,"Part time",12,135,"Spouse present",63,"Male","College degree +","Not employed",NA,NA,"No difficulty","No",0,224,0,0,60,131,100,557,55,0,313,"White","White"
"West","Less than $5,000",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Saturday",5496025.742721,77,"Female","Married - spouse present","College degree +","Employed - absent","No","Family/personal obligation (other #2)","Part time",NA,0,"Spouse present",80,"Male","HS diploma, no college","Employed - at work",12,NA,"No difficulty","No",15,0,0,0,75,130,161,714,0,255,0,"White","White"
"South","$7,500 to $9,999",3,"Rented for cash","Yes","House, apartment, flat",1,0,2,"Tuesday",21567818.494488,39,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Full time",36,500,"Spouse present",33,"Female","Some college","Employed - at work",40,1280,"No difficulty","No",90,0,0,0,60,210,540,335,205,0,0,"Black/African American","Black/African American"
